SALE LISTING FORM - COMPLETE FIELD INVENTORY
============================================
Extracted from: C:\Users\MayaAllan\Desktop\1\Old\MALLAN-NYC-CRM-FINAL2.html
Total Fields: 223
Date: 2026-02-08

FORMAT: ID_OR_NAME | TYPE | LABEL | TAB

======================================================================================================

TAB 1 - LISTING INFORMATION (Sub-tabs: 1.1 Basic Info, 1.2 Dates, 1.3 Pricing, 1.4 Open Houses)
======================================================================================================

saleCreateDate | date | Create Date | 1
saleAdminComments | textarea | Internal Use Only: Administrative Comments | 1
saleUpdatingCompany | select | REBNY Company | 1
saleUpdatingAgent | select | Agent/Broker Name | 1
saleCoBrokeAgreementType | select | Co-Brokerage Agreement Type | 1
saleStatus | select | Listing Status | 1
saleDateListed | date | Date Listed | 1
saleExclusiveStart | date | Exclusive Start Date | 1
saleExclusiveExpires | date | Exclusive Expires | 1
saleFirstCoBroke | date | First Co-Broke Date | 1
saleAvailableOccupancy | date | Available / Occupancy Date | 1
saleOffMarketDate | date | Off-Market Date | 1
saleContractSignedDate | date | Contract Signed Date | 1
saleSoldDate | date | Sold / Closed Date | 1
salePrice | number | List Price | 1
saleMaintCC | number | Monthly Maintenance/CC | 1
saleMaintCCFreq | select | Fee Frequency | 1
saleRETaxes | number | RE Taxes (Monthly) | 1
saleOriginalPrice | number | Original Price | 1
saleSoldPrice | number | Sold Price | 1
saleUnitShares | number | Unit Shares / Unit Sq Ft | 1
saleUnitSqFt | number | Unit Sq Ft | 1
salePercentCommon | number | Percent (%) of Common Elements | 1
saleLivingArea | number | Living Area (Condo) | 1
saleLivingAreaUnits | select | Living Area Units | 1
saleLivingAreaSource | select | Living Area Source | 1
saleTaxDeduction | number | Tax Deduction % | 1
saleFlipTaxAmount | number | Flip Tax Amount | 1
saleCommissionType | select | Commission Type | 1
saleExclusiveCommission | number | Exclusive Commission % | 1
saleDescription | textarea | Public Listing Description | 1
saleListingCompany | select | Listing Company | 1
saleListingAgent | select | Listing Agent | 1
saleBuyerCompany | select | REBNY Company | 1
saleBuyerAgent | select | Agent/Broker Name | 1

======================================================================================================

TAB 2 - UNIT INFORMATION
======================================================================================================

saleTotalRooms | number | Rooms | 2
saleBedrooms | number | Bedrooms | 2
saleFullBaths | number | Full Bathrooms | 2
saleHalfBaths | number | Half Bathrooms | 2
saleInteriorSqFt | number | Approx Interior SqFt | 2
saleExteriorSqFt | number | Approx Exterior SqFt | 2
saleFloorInBuilding | text | Floor in Building | 2

======================================================================================================

TAB 3 - TOWNHOUSE/BUILDING INFO (Sub-tabs: 3.1 Essentials, 3.2 Setup Sheet, 3.3 Financials)
======================================================================================================

saleTHStories | number | Stories (Townhouse) | 3
saleTHUnitsTotal | number | Total Units | 3
saleTHProfUnits | number | # Professional Units | 3
saleTHRetailUnits | number | # Retail Units | 3
saleTHNumBuildings | number | # Buildings | 3
saleTHVacantUnits | number | # Vacant Units | 3
saleTHCommercialYN | select | Commercial Units? | 3
saleTHDevStatus | select | Development Status | 3
saleTHLotSize | number | Lot Size | 3
saleTHLotSizeUnits | select | Lot Size Units | 3
saleTHLotDimensions | text | Lot Dimensions | 3
saleTHLotSizeSource | select | Lot Size Source | 3
