ID_OR_NAME | TYPE | LABEL | TAB
========================================================================================================================
saleCreateDate | date | [Unknown] | 1
saleAdminComments | textarea | Internal Use Only: Administrative Comments | 1
saleUpdatingCompany | select | [Unknown] | 1
saleUpdatingAgent | select | [Unknown] | 1
saleCoBrokeAgreementType | select | [Unknown] | 1
saleStatus | select | [Unknown] | 1
saleDateListed | date | [Unknown] | 1
saleExclusiveStart | date | [Unknown] | 1
saleExclusiveExpires | date | [Unknown] | 1
saleFirstCoBroke | date | [Unknown] | 1
saleAvailableOccupancy | date | [Unknown] | 1
saleOffMarketDate | date | [Unknown] | 1
saleContractSignedDate | date | [Unknown] | 1
saleSoldDate | date | [Unknown] | 1
salePrice | number | [Unknown] | 1
saleMaintCC | number | [Unknown] | 1
saleMaintCCFreq | select | Fee Frequency | 1
saleRETaxes | number | RE Taxes (Monthly) | 1
saleOriginalPrice | number | Original Price | 1
saleSoldPrice | number | [Unknown] | 1
saleUnitShares | number | [Unknown] | 1
saleUnitSqFt | number | Unit Sq Ft | 1
salePercentCommon | number | Percent (%) of Common Elements | 1
saleLivingArea | number | [Unknown] | 1
saleLivingAreaUnits | select | Living Area Units | 1
saleLivingAreaSource | select | Living Area Source | 1
saleTaxDeduction | number | Tax Deduction % | 1
saleFlipTaxAmount | number | [Unknown] | 1
saleCommissionType | select | [Unknown] | 1
saleExclusiveCommission | number | [Unknown] | 1
saleDescription | textarea | [Unknown] | 1
saleListingCompany | select | [Unknown] | 1
saleListingAgent | select | [Unknown] | 1
saleBuyerCompany | select | [Unknown] | 1
saleBuyerAgent | select | [Unknown] | 1
saleTotalRooms | number | Rooms | 2
saleBedrooms | number | Bedrooms | 2
saleFullBaths | number | Full Bathrooms | 2
saleHalfBaths | number | [Unknown] | 2
saleInteriorSqFt | number | Approx Interior SqFt | 2
saleExteriorSqFt | number | Approx Exterior SqFt | 2
saleFloorInBuilding | text | [Unknown] | 2
saleTHStories | number | [Unknown] | 3
saleTHUnitsTotal | number | [Unknown] | 3
saleTHProfUnits | number | # Professional Units | 3
saleTHRetailUnits | number | # Retail Units | 3
saleTHNumBuildings | number | # Buildings | 3
saleTHVacantUnits | number | # Vacant Units | 3
saleTHCommercialYN | select | Commercial Units? | 3
saleTHDevStatus | select | Development Status | 3
saleTHLotSize | number | [Unknown] | 3
saleTHLotSizeUnits | select | [Unknown] | 3
saleTHLotDimensions | text | [Unknown] | 3
saleTHLotSizeSource | select | Lot Size Source | 3
saleTHLandmark | select | Landmark Status | 3
saleTHLotFeatures | text | Lot Features | 3
saleTHBuildingArea | number | [Unknown] | 3
saleTHBuildingAreaUnits | select | Building Area Units | 3
saleTHGrossSqFt | number | Gross Square Footage | 3
saleTHNetSqFt | number | Net Square Footage | 3
saleTHFoundationArea | text | Foundation Area | 3
saleTHFoundation | select | Foundation Details | 3
saleTHBasementYN | select | Basement | 3
saleTHLevels | select | Levels | 3
saleTHZoning | text | Zoning Description | 3
saleTHOverFAR | number | Area Over FAR (sq ft) | 3
saleTHUnderFAR | number | Area Under FAR (sq ft) | 3
saleTHLandLeaseYN | select | Land Lease? | 3
saleTHLandLeaseAmt | number | Land Lease Amount | 3
saleTHLandLeaseFreq | select | Frequency | 3
saleTHLandLeaseExp | date | Expiration Date | 3
saleTHGarageYN | select | Garage? | 3
saleTHGarageSpaces | number | Garage Spaces | 3
saleTHAttachedGarage | select | Attached? | 3
saleTHOpenParkingYN | select | Open Parking? | 3
saleTHOpenSpaces | number | Open Spaces | 3
saleTHParkingTotal | number | Total Parking | 3
saleTHDescription | textarea | [Unknown] | 3
saleTHLayout | textarea | [Unknown] | 3
saleTHFinancing | textarea | [Unknown] | 3
saleTHNotes | textarea | [Unknown] | 3
saleTHGrossIncomeM | number | [Unknown] | 3
saleTHGrossIncomeA | number | [Unknown] | 3
saleTHTaxM | number | [Unknown] | 3
saleTHTaxA | number | [Unknown] | 3
saleTHWaterM | number | [Unknown] | 3
saleTHWaterA | number | [Unknown] | 3
saleTHHeatM | number | [Unknown] | 3
saleTHHeatA | number | [Unknown] | 3
saleTHMaintM | number | [Unknown] | 3
saleTHMaintA | number | [Unknown] | 3
saleTHMgmtM | number | [Unknown] | 3
saleTHMgmtA | number | [Unknown] | 3
saleTHSuperM | number | [Unknown] | 3
saleTHSuperA | number | [Unknown] | 3
saleTHElectricM | number | [Unknown] | 3
saleTHElectricA | number | [Unknown] | 3
saleTHInsuranceM | number | [Unknown] | 3
saleTHInsuranceA | number | [Unknown] | 3
saleTHTrashM | number | [Unknown] | 3
saleTHTrashA | number | [Unknown] | 3
saleTHPestM | number | [Unknown] | 3
saleTHPestA | number | [Unknown] | 3
saleTHWorkCompM | number | [Unknown] | 3
saleTHWorkCompA | number | [Unknown] | 3
saleTHOtherM | number | [Unknown] | 3
saleTHOtherA | number | [Unknown] | 3
