BoroCode,BBL,Block,Lot,Address,ZipCode,OwnerName,OwnerType,LandUse,BldgClass,UnitsRes,UnitsTotal,YearBuilt,YearAlter1,YearAlter2,AssessLand,AssessTot,ExemptLand,ExemptTot,BuiltFAR,ResidFAR,CommFAR,Latitude,Longitude,CondoNo,HistDist,Landmark,LotArea,BldgArea,NumFloors,ZoneDist1
1,1015730019,01573,0019,400 EAST 90 STREET,10128,SAMPLE OWNER LLC,P,04,R4,20,20,1985,0,0,500000,2500000,0,0,4.5,5.0,0.0,40.7790,-73.9489,0,,,5000,30000,12,R8B
1,1010100007,01010,0007,150 EAST 50 STREET,10022,JONES FAMILY TRUST,P,01,A1,1,1,1925,1995,0,800000,3500000,0,0,2.0,5.0,0.0,40.7570,-73.9710,0,,,2500,5000,4,R10
1,1015730099,01573,0099,500 EAST 90 STREET,10128,NYC HOUSING AUTH,C,04,R4,100,100,1972,0,0,300000,1000000,300000,1000000,3.0,4.0,0.0,40.7795,-73.9485,0,,,8000,40000,10,R7-2
1,1077000001,07700,0001,200 WEST 125 STREET,10027,HARLEM RESIDENT LLC,P,04,R4,30,30,1980,0,0,400000,2000000,0,0,4.0,4.5,0.0,40.8104,-73.9494,0,,,6000,25000,10,R8A
3,3001230045,00123,0045,150 BEDFORD AVENUE,11211,WILLIAMSBURG OWNER LLC,P,03,R3,8,8,1920,0,0,200000,1500000,0,0,3.0,4.0,0.0,40.7174,-73.9568,0,,,3000,9000,4,R6B
1,1006700045,00670,0045,30 RECTOR STREET,10006,FIDI CONDO ASSOC,X,04,R5,250,250,2008,0,0,1500000,15000000,0,0,12.0,12.0,12.0,40.7090,-74.0140,250,,,15000,200000,40,C5-3
1,1015730020,01573,0020,401 EAST 90 STREET,10128,SUBWAY EASEMENT,O,08,U7,0,0,1965,0,0,0,0,0,0,0.0,0.0,0.0,40.7790,-73.9489,0,,,1000,0,0,
1,1099999000,99999,0000,EMPTY GEO ROW,,UNKNOWN,P,04,R4,1,1,1900,0,0,0,0,0,0,0.0,0.0,0.0,,,0,,,0,0,0,
1,1004500001,00450,0001,15 GRAMERCY PARK SOUTH,10003,GRAMERCY OWNER LLC,P,04,R4,40,40,1928,0,0,2000000,8000000,0,0,8.0,10.0,0.0,40.7370,-73.9870,0,Gramercy Park,Y,4500,32000,12,R10A
1,1010500045,01050,0045,1100 PARK AVENUE,10128,UES TRUST,P,04,R4,15,15,1925,0,0,3000000,15000000,0,0,15.0,15.0,0.0,40.7837,-73.9558,0,,Y,2500,38000,15,R10
